 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,Length
1,1.218E-6,162.476,6.789,153.345,177.000,0.025,0.112,0.006,0.002,0,0,-15.945,0.006,1.980E-4,4874.293,0.025,0.112,164.055,5.593E-6,0.006
2,1.558E-6,192.329,21.598,164.355,234.889,0.202,0.101,0.007,2.080E-4,0,0,3.270,0.007,2.996E-4,6923.841,0.202,0.102,1.637,1.736E-5,0.007
3,1.762E-6,231.337,15.958,203.699,250.128,0.074,0.092,0.008,0.002,0,0,12.381,0.009,4.075E-4,9947.512,0.074,0.094,12.095,1.438E-5,0.009
4,1.916E-6,210.487,13.338,179.222,228.551,0.022,0.114,0.009,0.002,0,0,-11.821,0.009,4.033E-4,9471.936,0.022,0.114,168.179,2.824E-5,0.009
5,2.527E-6,188.418,29.752,137.881,232.616,0.176,0.070,0.013,5.870E-4,0,0,-1.762,0.013,4.762E-4,12435.578,0.176,0.070,177.397,2.314E-5,0.013
6,1.064E-6,225.848,23.236,186.301,251.558,0.119,0.061,0.005,1.950E-4,0,0,-2.121,0.005,2.403E-4,6323.736,0.119,0.061,175.764,2.178E-5,0.005
7,2.340E-6,218.060,19.024,189.295,247.139,0.167,0.109,0.011,0.000,0,0,0.000,0.011,5.103E-4,12647.509,0.167,0.109,0.000,0.000,0.012
8,1.977E-6,201.632,46.849,123.403,253.763,0.146,0.085,0.009,0.002,0,0,-12.265,0.010,3.987E-4,9879.985,0.146,0.085,166.827,2.920E-5,0.010
9,1.264E-6,223.326,10.794,212.167,245.833,0.168,0.170,0.006,0.002,0,0,14.931,0.006,2.822E-4,7369.759,0.168,0.172,14.470,3.248E-6,0.006
10,2.082E-6,189.519,10.691,176.320,214.000,0.143,0.108,0.010,0.000,0,0,0.000,0.010,3.946E-4,9855.008,0.143,0.108,0.000,0.000,0.010
11,1.875E-6,148.169,2.697,142.726,155.000,0.032,0.062,0.009,0.001,0,0,8.130,0.010,2.778E-4,7556.644,0.032,0.063,7.970,5.135E-6,0.010
12,1.164E-6,207.252,4.571,201.142,226.222,0.099,0.088,0.006,0.002,0,0,-20.772,0.006,2.413E-4,6632.070,0.099,0.088,161.565,6.848E-6,0.006
