Original;Freq;Rename;;;
;1852;NA;;;
*calcium carbonate;2;NA;;;
*cellophane;1;NA;;;
*PE;24;PE;;;according to this table 89 particles are organic matter, 42 NIR (organic matter or black). But the df file says 6859-6829 =30 particles. Klopt niet. 
*PEP;8;Other;Polyolefin;;
*PET;1;Other;PET;;
*polyolefin/PP;4;Other;Polyolefin;;
*PP;25;PP;;;
*PP ;1;PP;;;
*PP+PE;4;Other;Polyolefin;;
*PS;2;Other;PS;;
*PVA;1;Other;PVA;;
*undefined polymer;2;NA;;;
*undetermined;7;NA;;;
*undetermined polymer;16;NA;;;
*zein;5;NA;;;
na;6;NA;;;
NIR;41;NA;;;
PE;4271;PE;;;
PE ;1;PE;;;
PE  ;1;PE;;;
PEP;1;Other;Polyolefin;;
PP;494;PP;;;
PP ;5;PP;;;
PP+PE;1;Other;Polyolefin;;
PS;13;Other;PS;;
PVC;2;Other;PVC;;
undetermined;68;NA;;;
NA;0;NA;;;
